,Row ID,Product Name,Category,Sub-Category,Order Priority
28,38460,Staples,Office Supplies,Fasteners,Critical
29,22999,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,Critical
30,220,"Samsung Smart Phone, VoIP",Technology,Phones,Critical
31,10648,"Okidata Inkjet, Wireless",Technology,Machines,Critical
32,40977,Geemarc AmpliPOWER60,Technology,Phones,Medium
33,21286,"Breville Stove, Red",Office Supplies,Appliances,Critical
34,40976,Fellowes Super Stor/Drawer Files,Office Supplies,Storage,Medium
35,47905,"Apple Smart Phone, Full Size",Technology,Phones,High
36,36651,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Medium
37,40100,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,High
38,15380,"Brother Fax Machine, Laser",Technology,Copiers,High
39,28046,"Nokia Smart Phone, with Caller ID",Technology,Phones,Medium
40,21316,"Motorola Smart Phone, Full Size",Technology,Phones,High
41,29272,"Motorola Smart Phone, with Caller ID",Technology,Phones,High
42,25795,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,Medium
43,16681,"Motorola Smart Phone, Cordless",Technology,Phones,High
44,15953,"Cuisinart Stove, Silver",Office Supplies,Appliances,Critical
45,34608,"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings,Medium
46,13847,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical
47,24341,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,High
48,28701,"Konica Inkjet, White",Technology,Machines,Critical
49,6550,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,High
50,37425,GBC VeloBind Cover Sets,Office Supplies,Binders,High
51,48360,"Canon Copy Machine, Color",Technology,Copiers,Critical
52,40101,Avery 51,Office Supplies,Labels,High
53,30190,"Safco Classic Bookcase, Pine",Furniture,Bookcases,Critical
54,42336,"Motorola Smart Phone, with Caller ID",Technology,Phones,High
55,29047,"Hewlett Wireless Fax, Color",Technology,Copiers,Critical
56,38461,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,Critical
57,29601,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,Critical
58,23499,"Breville Refrigerator, White",Office Supplies,Appliances,High
59,36652,EcoTones Memo Sheets,Office Supplies,Paper,Medium
60,26634,"Safco Classic Bookcase, Metal",Furniture,Bookcases,High
61,34496,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art,Medium
62,10522,"Samsung Smart Phone, Cordless",Technology,Phones,Medium
63,10549,"Apple Audio Dock, with Caller ID",Technology,Phones,Critical
64,25314,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,High
65,32637,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,High
66,16653,"Safco Classic Bookcase, Metal",Furniture,Bookcases,High
67,28932,"Chromcraft Wood Table, Rectangular",Furniture,Tables,Critical
68,8029,"Samsung Smart Phone, Cordless",Technology,Phones,Critical
69,50411,"Chromcraft Round Table, Rectangular",Furniture,Tables,Critical
70,21191,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High
71,4960,"Hamilton Beach Microwave, Black",Office Supplies,Appliances,Medium
72,49085,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High
73,21209,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,High
74,12161,"Nokia Smart Phone, Full Size",Technology,Phones,High
75,25438,"Apple Smart Phone, Cordless",Technology,Phones,Critical
76,33130,Bady BDG101FRU Card Printer,Technology,Machines,Medium
77,16988,"Brother Ink, Color",Technology,Copiers,Critical
78,24443,"Sharp Wireless Fax, Digital",Technology,Copiers,Medium
79,30199,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,Critical
80,13879,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High
81,50788,"Canon Wireless Fax, Laser",Technology,Copiers,Medium
82,40834,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Critical
83,40425,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders,High
84,18241,"Motorola Smart Phone, Full Size",Technology,Phones,Low
85,23013,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances,Critical
86,45616,"Hoover Stove, White",Office Supplies,Appliances,Medium
87,25026,"Brother Wireless Fax, Laser",Technology,Copiers,High
88,27962,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,Medium
89,26669,"Canon Copy Machine, Color",Technology,Copiers,High
90,29600,"Nokia Smart Phone, with Caller ID",Technology,Phones,Critical
91,34336,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,Medium
92,19195,"Hamilton Beach Stove, White",Office Supplies,Appliances,Critical
93,32639,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,High
94,26731,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,High
95,31278,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,High
96,12035,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,High
97,29149,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Medium
98,15896,"Panasonic Printer, Red",Technology,Machines,Critical
99,18307,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances,High
100,46257,"Motorola Smart Phone, Full Size",Technology,Phones,Low
101,21142,"Cisco Smart Phone, Full Size",Technology,Phones,Low
102,10308,"Samsung Smart Phone, Full Size",Technology,Phones,High
103,6776,"Samsung Smart Phone, Cordless",Technology,Phones,Medium
104,16948,"Sharp Fax Machine, High-Speed",Technology,Copiers,Critical
105,11611,"Cisco Smart Phone, with Caller ID",Technology,Phones,High
106,35876,Xerox 1956,Office Supplies,Paper,Medium
107,1873,"Dania Classic Bookcase, Pine",Furniture,Bookcases,High
108,29120,"Breville Refrigerator, Red",Office Supplies,Appliances,High
109,11743,"Office Star Executive Leather Armchair, Black",Furniture,Chairs,High
110,32648,Hanging Personal Folder File,Office Supplies,Storage,Medium
111,17522,"Apple Smart Phone, with Caller ID",Technology,Phones,High
112,14721,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,Critical
113,29629,"Sharp Wireless Fax, Laser",Technology,Copiers,Critical
114,25868,"Hoover Refrigerator, White",Office Supplies,Appliances,High
115,33131,Xerox 1998,Office Supplies,Paper,Medium
116,19559,"Hewlett Wireless Fax, Laser",Technology,Copiers,High
117,32638,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,High
118,14070,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Medium
119,21306,"Bush Library with Doors, Metal",Furniture,Bookcases,Critical
120,21668,"HP Wireless Fax, Digital",Technology,Copiers,High
121,39465,Hon 5100 Series Wood Tables,Furniture,Tables,Low
122,31650,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,Critical
123,24260,"Canon Wireless Fax, High-Speed",Technology,Copiers,Critical
124,13646,"Sharp Fax Machine, Digital",Technology,Copiers,Critical
125,23708,"Cisco Smart Phone, Full Size",Technology,Phones,Critical
126,39466,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,Low
127,33661,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Office Supplies,Appliances,Medium
128,39467,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,Low
129,1779,"Brother Copy Machine, Color",Technology,Copiers,Critical
130,23880,"Hewlett Fax Machine, High-Speed",Technology,Copiers,Critical
131,27094,"Belkin Router, USB",Technology,Accessories,Critical
132,24424,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,High
133,22049,"Motorola Smart Phone, Full Size",Technology,Phones,High
134,40796,Strathmore Photo Mount Cards,Office Supplies,Paper,High
135,23815,"Safco Library with Doors, Pine",Furniture,Bookcases,High
136,8009,"Hoover Refrigerator, Red",Office Supplies,Appliances,Medium
137,30267,"StarTech Printer, Wireless",Technology,Machines,Critical
138,40795,Staples,Office Supplies,Fasteners,High
139,31647,Xerox 1881,Office Supplies,Paper,Critical
140,2283,"Memorex Router, Bluetooth",Technology,Accessories,High
141,17765,"Hewlett Wireless Fax, Color",Technology,Copiers,High
142,47783,"Samsung Smart Phone, Cordless",Technology,Phones,High
143,31649,Xerox 1881,Office Supplies,Paper,Critical
144,23175,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High
145,27693,"Apple Smart Phone, with Caller ID",Technology,Phones,High
146,22134,"Brother Fax Machine, High-Speed",Technology,Copiers,Critical
147,36297,Logitech G600 MMO Gaming Mouse,Technology,Accessories,Medium
148,22488,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,High
149,25678,"Belkin Router, Erganomic",Technology,Accessories,High
150,15376,"Hoover Stove, White",Office Supplies,Appliances,High
151,15162,"Bush Classic Bookcase, Metal",Furniture,Bookcases,Critical
152,18899,"HP Wireless Fax, Color",Technology,Copiers,Critical
153,33660,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,Medium
154,24160,"Motorola Smart Phone, Full Size",Technology,Phones,High
155,15812,"Cisco Smart Phone, Full Size",Technology,Phones,High
156,33662,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders,Medium
157,6449,"Lesro Round Table, Rectangular",Furniture,Tables,High
158,32472,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,Medium
159,4394,"Hoover Stove, White",Office Supplies,Appliances,High
160,22058,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,High
161,19833,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,Medium
162,45807,"Cisco Smart Phone, Full Size",Technology,Phones,Medium
163,30187,"Lesro Round Table, with Bottom Storage",Furniture,Tables,Critical
164,29484,"Hoover Stove, White",Office Supplies,Appliances,High
165,36347,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Medium
166,24015,"Safco Library with Doors, Pine",Furniture,Bookcases,High
167,20601,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,High
168,12051,"Cisco Smart Phone, Cordless",Technology,Phones,Medium
169,25915,"Samsung Smart Phone, Full Size",Technology,Phones,High
170,21639,"Bush Library with Doors, Metal",Furniture,Bookcases,Medium
171,31648,Acco Hanging Data Binders,Office Supplies,Binders,Critical
172,23229,"Samsung Smart Phone, Full Size",Technology,Phones,High
173,31646,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,Critical
174,20674,"Bevis Conference Table, Fully Assembled",Furniture,Tables,High
175,11331,"Bush Library with Doors, Metal",Furniture,Bookcases,High
176,58,"Nokia Smart Phone, Full Size",Technology,Phones,High
177,45091,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High
178,18990,"Enermax Router, Bluetooth",Technology,Accessories,Critical
179,34330,Xerox 231,Office Supplies,Paper,High
180,51130,"Hoover Refrigerator, White",Office Supplies,Appliances,Critical
181,14405,"Epson Printer, Durable",Technology,Machines,Low
182,10745,"Hon Computer Table, Adjustable Height",Furniture,Tables,Critical
183,40794,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,High
184,25850,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,Medium
185,16109,"Apple Smart Phone, Full Size",Technology,Phones,Medium
186,22515,"Lesro Computer Table, Adjustable Height",Furniture,Tables,Critical
187,29269,"Breville Refrigerator, White",Office Supplies,Appliances,High
188,29651,"Lesro Wood Table, Fully Assembled",Furniture,Tables,Critical
189,10670,"Nokia Smart Phone, Cordless",Technology,Phones,Medium
190,24859,"Hon Training Table, Fully Assembled",Furniture,Tables,High
191,24466,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High
192,15359,"Barricks Conference Table, Fully Assembled",Furniture,Tables,Medium
193,39745,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,Critical
194,21670,"Breville Refrigerator, Black",Office Supplies,Appliances,Critical
195,39744,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,Critical
196,17548,"Breville Stove, White",Office Supplies,Appliances,Critical
197,39742,KI Adjustable-Height Table,Furniture,Tables,Critical
198,20861,"KitchenAid Stove, Silver",Office Supplies,Appliances,Medium
199,17907,"Smead Lockers, Wire Frame",Office Supplies,Storage,Critical
200,24361,"Sharp Copy Machine, High-Speed",Technology,Copiers,Critical
201,29968,"Hamilton Beach Stove, White",Office Supplies,Appliances,Medium
202,32221,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,Medium
203,28875,"Breville Stove, Silver",Office Supplies,Appliances,High
204,48781,"Smead Lockers, Industrial",Office Supplies,Storage,Critical
205,15922,"Safco Classic Bookcase, Metal",Furniture,Bookcases,Low
206,39983,Premier Electric Letter Opener,Office Supplies,Supplies,Critical
207,33163,"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings,Medium
208,2641,"Samsung Smart Phone, Cordless",Technology,Phones,High
209,39711,WD My Passport Ultra 1TB Portable External Hard Drive,Technology,Accessories,Medium
210,26068,"Brother Wireless Fax, Color",Technology,Copiers,High
211,10306,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,High
212,41716,"Fellowes File Cart, Blue",Office Supplies,Storage,High
213,44140,"Epson Receipt Printer, Red",Technology,Machines,Critical
214,29226,"Fellowes Lockers, Blue",Office Supplies,Storage,Critical
215,27720,"Samsung Smart Phone, VoIP",Technology,Phones,Medium
216,11073,"Dania Library with Doors, Pine",Furniture,Bookcases,Critical
217,24030,"Ikea Library with Doors, Pine",Furniture,Bookcases,Critical
218,30202,"Bush Library with Doors, Mobile",Furniture,Bookcases,Critical
219,27230,"Nokia Smart Phone, with Caller ID",Technology,Phones,High
220,51284,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,Medium
221,39743,"Eldon 400 Class Desk Accessories, Black Carbon",Furniture,Furnishings,Critical
222,28198,"Brother Wireless Fax, Laser",Technology,Copiers,High
223,26028,"Cisco Smart Phone, Full Size",Technology,Phones,Medium
224,26325,"Motorola Smart Phone, with Caller ID",Technology,Phones,High
225,21924,"Nokia Smart Phone, with Caller ID",Technology,Phones,High
226,30113,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,Critical
227,30105,"Breville Microwave, Red",Office Supplies,Appliances,High
228,24363,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical
229,19902,"Safco Classic Bookcase, Metal",Furniture,Bookcases,Critical
230,13998,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High
231,38383,Compact Automatic Electric Letter Opener,Office Supplies,Supplies,Medium
232,37340,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,Medium
233,47087,"Hoover Microwave, Silver",Office Supplies,Appliances,Critical
234,49833,"Nokia Smart Phone, Full Size",Technology,Phones,Critical
235,2080,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances,Medium
236,39746,"Wirebound Message Book, 4 per Page",Office Supplies,Paper,Critical
237,10303,"Hoover Stove, Red",Office Supplies,Appliances,Medium
238,39710,Xerox 214,Office Supplies,Paper,Medium
239,39984,OIC Binder Clips,Office Supplies,Fasteners,Critical
240,39985,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Office Supplies,Paper,Critical
241,41838,"Barricks Wood Table, Rectangular",Furniture,Tables,High
242,28110,"Sauder Library with Doors, Mobile",Furniture,Bookcases,High
243,12449,"Bush Classic Bookcase, Pine",Furniture,Bookcases,High
244,17848,"Konica Inkjet, White",Technology,Machines,Critical
245,46219,"Barricks Conference Table, Rectangular",Furniture,Tables,High
246,26932,"Hewlett Wireless Fax, Laser",Technology,Copiers,Medium
247,32866,Newell 347,Office Supplies,Art,Medium
248,4817,"Apple Smart Phone, with Caller ID",Technology,Phones,High
249,50593,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,Critical
250,25445,"Sharp Wireless Fax, Digital",Technology,Copiers,Critical
251,39747,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Office Supplies,Appliances,Critical
252,50000,"Nokia Smart Phone, Cordless",Technology,Phones,High
253,30934,"Hon Conference Table, Adjustable Height",Furniture,Tables,High
254,21667,"Lesro Round Table, with Bottom Storage",Furniture,Tables,Critical
255,8870,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs,Critical
256,1899,"Hamilton Beach Stove, Black",Office Supplies,Appliances,Critical
257,36279,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels,Medium
258,39051,"OIC #2 Pencils, Medium Soft",Office Supplies,Art,High
259,38382,Avery Metallic Poly Binders,Office Supplies,Binders,Medium
260,9857,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,High
261,2398,"Nokia Smart Phone, Cordless",Technology,Phones,Critical
262,20610,"Apple Smart Phone, Full Size",Technology,Phones,Critical
263,19446,"Konica Printer, Wireless",Technology,Machines,Critical
264,11606,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,Critical
265,16161,"Cisco Smart Phone, with Caller ID",Technology,Phones,High
266,25761,"KitchenAid Stove, Black",Office Supplies,Appliances,High
267,6594,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs,Critical
268,17380,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,High
269,3503,"Sharp Wireless Fax, Digital",Technology,Copiers,High
270,23537,"Brother Fax Machine, Digital",Technology,Copiers,Critical
271,26037,"Hewlett Wireless Fax, Digital",Technology,Copiers,High
272,20266,"Breville Microwave, White",Office Supplies,Appliances,High
273,42956,"Canon Fax Machine, High-Speed",Technology,Copiers,Medium
274,21995,"Hon Executive Leather Armchair, Red",Furniture,Chairs,High
275,15570,"Apple Signal Booster, with Caller ID",Technology,Phones,Critical
276,25831,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High
277,29383,"KitchenAid Stove, Silver",Office Supplies,Appliances,Critical
278,879,"Brother Fax Machine, High-Speed",Technology,Copiers,High
279,16997,"HP Wireless Fax, Laser",Technology,Copiers,Critical
280,21287,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical
281,37341,Xerox 1949,Office Supplies,Paper,Medium
282,47029,"Hewlett Fax and Copier, Color",Technology,Copiers,High
283,8378,"Samsung Smart Phone, Cordless",Technology,Phones,High
284,2496,"Cisco Smart Phone, Full Size",Technology,Phones,High
285,990,"Apple Smart Phone, Full Size",Technology,Phones,Medium
286,34756,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,Critical
287,40955,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,Medium
288,33285,Bevis Round Conference Table Top & Single Column Base,Furniture,Tables,Medium
289,43395,"Samsung Audio Dock, with Caller ID",Technology,Phones,High
290,36524,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,High
291,46991,"Cisco Smart Phone, Cordless",Technology,Phones,Medium
292,9711,"Motorola Smart Phone, Full Size",Technology,Phones,High
293,31138,"KitchenAid Refrigerator, Red",Office Supplies,Appliances,High
294,46655,"Hoover Microwave, White",Office Supplies,Appliances,Critical
295,10365,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,High
296,21500,"Safco Classic Bookcase, Pine",Furniture,Bookcases,Medium
297,28108,"Nokia Smart Phone, with Caller ID",Technology,Phones,Medium
298,16456,"Rogers File Cart, Blue",Office Supplies,Storage,Critical
299,23791,"Novimex Swivel Stool, Black",Furniture,Chairs,Critical
300,28128,"Breville Stove, Black",Office Supplies,Appliances,Medium
301,4585,"Samsung Smart Phone, Cordless",Technology,Phones,Critical
302,41299,"Motorola Smart Phone, Full Size",Technology,Phones,Medium
303,8753,"Chromcraft Conference Table, Adjustable Height",Furniture,Tables,Low
304,31293,"Safco Classic Bookcase, Pine",Furniture,Bookcases,Critical
305,34753,Logitech Trackman Marble Mouse,Technology,Accessories,Critical
306,31033,"Lesro Coffee Table, with Bottom Storage",Furniture,Tables,Critical
307,36523,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,High
308,49752,"Apple Smart Phone, Full Size",Technology,Phones,Medium
309,34757,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Critical
310,20145,"Hon Executive Leather Armchair, Black",Furniture,Chairs,High
311,24211,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,Critical
312,4027,"Hewlett Fax Machine, High-Speed",Technology,Copiers,Critical
313,23212,"Apple Smart Phone, with Caller ID",Technology,Phones,Medium
314,14952,"Sauder Library with Doors, Traditional",Furniture,Bookcases,High
315,30312,"Smead Lockers, Blue",Office Supplies,Storage,Critical
316,11657,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,Medium
317,17552,"Brother Fax Machine, Color",Technology,Copiers,Critical
318,26759,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,Low
319,50837,"Rogers Lockers, Single Width",Office Supplies,Storage,High
320,20869,"Bush Library with Doors, Metal",Furniture,Bookcases,Medium
321,2397,"Samsung Smart Phone, VoIP",Technology,Phones,Critical
322,33698,Hanging Personal Folder File,Office Supplies,Storage,High
323,15132,"Sharp Wireless Fax, Laser",Technology,Copiers,High
324,27129,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,Critical
325,25179,"Hewlett Copy Machine, Color",Technology,Copiers,High
326,34754,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Furniture,Furnishings,Critical
327,24610,"Hewlett Personal Copier, High-Speed",Technology,Copiers,Critical
328,50724,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,High
329,40952,"Computer Room Manger, 14""",Furniture,Furnishings,Medium
330,28226,"Hewlett Fax Machine, Laser",Technology,Copiers,Critical
331,33191,Newell 309,Office Supplies,Art,Medium
332,25941,"Hamilton Beach Refrigerator, White",Office Supplies,Appliances,Medium
333,581,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,High
334,21263,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,Medium
335,13571,"Rogers Lockers, Blue",Office Supplies,Storage,High
336,11639,"Nokia Smart Phone, Full Size",Technology,Phones,Critical
337,33699,Staples,Office Supplies,Fasteners,High
338,13307,"Tenex Lockers, Blue",Office Supplies,Storage,Critical
339,40245,Belkin 7-Outlet SurgeMaster Home Series,Office Supplies,Appliances,High
340,43307,"Office Star Swivel Stool, Red",Furniture,Chairs,Critical
341,33286,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,Medium
342,9702,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High
343,36522,SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders,High
344,39145,Akro Stacking Bins,Office Supplies,Storage,Medium
345,22762,"Konica Card Printer, Wireless",Technology,Machines,Critical
346,20867,"Barricks Wood Table, with Bottom Storage",Furniture,Tables,High
347,28836,"Belkin Router, Bluetooth",Technology,Accessories,High
348,37405,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,High
349,12815,"Smead Lockers, Wire Frame",Office Supplies,Storage,Critical
350,16587,"Barricks Conference Table, Adjustable Height",Furniture,Tables,Medium
351,18691,"Hewlett Wireless Fax, Color",Technology,Copiers,High
352,39146,Sterilite Show Offs Storage Containers,Office Supplies,Storage,Medium
353,17534,"Hamilton Beach Microwave, Black",Office Supplies,Appliances,High
354,46920,"Samsung Smart Phone, Full Size",Technology,Phones,Medium
355,20521,"Hewlett Copy Machine, Color",Technology,Copiers,Medium
356,12032,"Cuisinart Microwave, White",Office Supplies,Appliances,High
357,39147,Avery 502,Office Supplies,Labels,Medium
358,34755,Binder Posts,Office Supplies,Binders,Critical
359,11549,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,High
360,33284,Binder Posts,Office Supplies,Binders,Medium
361,2808,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High
362,29513,"Apple Smart Phone, Full Size",Technology,Phones,Medium
363,25671,"Lesro Conference Table, Rectangular",Furniture,Tables,Medium
364,14419,"Brother Fax Machine, Color",Technology,Copiers,Critical
365,17361,"Okidata Inkjet, White",Technology,Machines,Critical
366,30082,"Canon Personal Copier, Laser",Technology,Copiers,Critical
367,22207,"Brother Wireless Fax, Digital",Technology,Copiers,Low
368,29552,"Smead Lockers, Wire Frame",Office Supplies,Storage,High
369,17894,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,Critical
370,20583,"Office Star Rocking Chair, Black",Furniture,Chairs,Critical
371,13924,"Bush Library with Doors, Metal",Furniture,Bookcases,High
372,9294,"Sharp Wireless Fax, Digital",Technology,Copiers,High
373,4116,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,Critical
374,20795,"Bush Library with Doors, Pine",Furniture,Bookcases,Critical
375,42763,"KitchenAid Microwave, Black",Office Supplies,Appliances,Critical
376,26473,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,High
377,27819,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,Medium
378,13350,"Epson Printer, Red",Technology,Machines,Critical
379,16761,"Eldon File Cart, Single Width",Office Supplies,Storage,Critical
380,21010,"Apple Smart Phone, Full Size",Technology,Phones,High
381,27825,"Motorola Smart Phone, Cordless",Technology,Phones,Medium
382,17478,"HP Wireless Fax, Laser",Technology,Copiers,High
383,19561,"Cisco Smart Phone, Cordless",Technology,Phones,High
384,44597,"Rogers Lockers, Blue",Office Supplies,Storage,Medium
385,20408,"Hon Wood Table, Fully Assembled",Furniture,Tables,Medium
386,12983,"Hewlett Wireless Fax, High-Speed",Technology,Copiers,Critical
387,13735,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,Critical
